cluster,Education,proportion
0,Graduation,0.4954128440366973
0,PhD,0.26376146788990823
0,Master,0.16743119266055045
0,2n Cycle,0.07110091743119266
0,Basic,0.0022935779816513763
1,Graduation,0.4867517173699706
1,PhD,0.19136408243375858
1,Master,0.16683022571148184
1,2n Cycle,0.10402355250245339
1,Basic,0.05103042198233562
2,Graduation,0.45979381443298967
2,PhD,0.28865979381443296
2,Master,0.1979381443298969
2,2n Cycle,0.05360824742268041
3,Graduation,0.663003663003663
3,2n Cycle,0.1282051282051282
3,PhD,0.10989010989010989
3,Master,0.09523809523809523
3,Basic,0.003663003663003663
