component,explained_variance_ratio,cumulative_explained_variance
1,0.40109309681348804,0.40109309681348804
2,0.09021319243662447,0.4913062892501125
3,0.06763479475558519,0.5589410840056976
4,0.056003336675585096,0.6149444206812827
5,0.048051556149530515,0.6629959768308132
6,0.04003316004904483,0.703029136879858
7,0.03529234386053576,0.7383214807403937
8,0.030697840687759784,0.7690193214281535
9,0.02567936917613539,0.794698690604289
10,0.02411421806217828,0.8188129086664673
11,0.022188907904475547,0.8410018165709429
12,0.021689452807975396,0.8626912693789183
13,0.020636142871373515,0.8833274122502918
14,0.017954148408241527,0.9012815606585333
15,0.015658351234551924,0.9169399118930852
16,0.015158750508678204,0.9320986624017634
17,0.013647817736408222,0.9457464801381716
18,0.012783013270245601,0.9585294934084172
19,0.01071462849126521,0.9692441218996825
20,0.008838820753618108,0.9780829426533005
21,0.008258220800851798,0.9863411634541523
22,0.006621934485552541,0.9929630979397049
23,0.002733138050421651,0.9956962359901266
24,0.0024785308763167267,0.9981747668664434
25,0.0010191607325761125,0.9991939275990195
26,0.0006094320930263596,0.9998033596920458
27,0.00011903994735668862,0.9999223996394025
28,6.926574640336715e-05,0.9999916653858059
29,8.33461419397016e-06,0.9999999999999998
30,7.7265025547951e-18,0.9999999999999998
