restaurant,item,total_fat
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,141
Mcdonalds,40 piece Chicken McNuggets,107
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,88
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,70
Mcdonalds,Double Bacon Smokehouse Burger,67
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,66
Mcdonalds,20 Piece Chicken McNuggets,53
Mcdonalds,Single Bacon Smokehouse Burger,45
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,45
Mcdonalds,Double Quarter Pounder® with Cheese,45
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,44
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,40
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,37
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,36
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,36
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,35
Mcdonalds,Signature Sriracha Burger,35
Mcdonalds,Garlic White Cheddar Burger,34
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,34
Mcdonalds,Pico Guacamole 1/4 lb Burger,33
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,33
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,32
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,31
Mcdonalds,Big Mac,28
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,28
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,28
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,28
Mcdonalds,Quarter Pounder® with Cheese,27
Mcdonalds,10 Piece Chicken McNuggets,27
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,27
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,25
Mcdonalds,Classic Chicken Sandwich,24
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,23
Mcdonalds,McRib,22
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,22
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,22
Mcdonalds,Double Cheeseburger,21
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,21
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,21
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,20
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,20
Mcdonalds,Filet-O-Fish®,18
Mcdonalds,McDouble,18
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,18
Mcdonalds,6 Piece Chicken McNuggets,16
Mcdonalds,McChicken,15
Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,14
Mcdonalds,Cheeseburger,12
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,12
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,12
Mcdonalds,4 Piece Chicken McNuggets,11
Mcdonalds,Premium Southwest Salad w/o Chicken,10
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,9
Mcdonalds,Hamburger,8
Mcdonalds,Artisan Grilled Chicken Sandwich,7
Mcdonalds,Premium Asian Salad w/o Chicken,7
Mcdonalds,Lobster Roll,5
