RegionID,SizeRank,RegionName,RegionType,StateName,Date,ZHVI
9,0,California,state,,2000-01-31,188373.75508128796
54,1,Texas,state,,2000-01-31,112618.816294254
14,2,Florida,state,,2000-01-31,107861.99594120336
43,3,New York,state,,2000-01-31,153885.22444570033
47,4,Pennsylvania,state,,2000-01-31,98956.7429613185
21,5,Illinois,state,,2000-01-31,128077.10851956414
44,6,Ohio,state,,2000-01-31,104764.79185477398
16,7,Georgia,state,,2000-01-31,126067.36059946063
36,8,North Carolina,state,,2000-01-31,128826.98424248186
30,9,Michigan,state,,2000-01-31,115957.112733359
40,10,New Jersey,state,,2000-01-31,170361.31477587618
56,11,Virginia,state,,2000-01-31,124132.87840699469
59,12,Washington,state,,2000-01-31,174648.0114135188
8,13,Arizona,state,,2000-01-31,135754.12282750252
26,14,Massachusetts,state,,2000-01-31,196903.16257498437
53,15,Tennessee,state,,2000-01-31,112257.60222036504
22,16,Indiana,state,,2000-01-31,97562.7483129269
27,17,Maryland,state,,2000-01-31,151574.75155126798
32,18,Missouri,state,,2000-01-31,96715.77244213362
60,19,Wisconsin,state,,2000-01-31,120259.4635908627
10,20,Colorado,state,,2000-01-31,176601.5154078999
31,21,Minnesota,state,,2000-01-31,124610.56080587769
51,22,South Carolina,state,,2000-01-31,114513.85731213869
4,23,Alabama,state,,2000-01-31,100025.87043605025
25,24,Louisiana,state,,2000-01-31,109297.24512517688
24,25,Kentucky,state,,2000-01-31,88516.78209022972
46,26,Oregon,state,,2000-01-31,151505.8771735169
45,27,Oklahoma,state,,2000-01-31,83296.37201444895
11,28,Connecticut,state,,2000-01-31,162193.06561613025
55,30,Utah,state,,2000-01-31,169263.37232403568
19,31,Iowa,state,,2000-01-31,90600.22781955411
42,32,Nevada,state,,2000-01-31,154864.8549284136
6,33,Arkansas,state,,2000-01-31,89099.35248607585
34,34,Mississippi,state,,2000-01-31,89087.99651476549
23,35,Kansas,state,,2000-01-31,88644.2834315957
41,36,New Mexico,state,,2000-01-31,
38,37,Nebraska,state,,2000-01-31,115309.07065994188
20,38,Idaho,state,,2000-01-31,124001.85627246273
61,39,West Virginia,state,,2000-01-31,72810.22010766798
18,40,Hawaii,state,,2000-01-31,194143.1849756044
39,41,New Hampshire,state,,2000-01-31,133314.52334706348
28,42,Maine,state,,2000-01-31,106571.5879867961
50,43,Rhode Island,state,,2000-01-31,131632.80236506028
35,44,Montana,state,,2000-01-31,
13,45,Delaware,state,,2000-01-31,148207.19218949796
52,46,South Dakota,state,,2000-01-31,107833.1033404768
37,47,North Dakota,state,,2000-01-31,
3,48,Alaska,state,,2000-01-31,135909.79876781208
12,49,District of Columbia,state,,2000-01-31,161758.46327905066
58,50,Vermont,state,,2000-01-31,115574.25755502094
62,51,Wyoming,state,,2000-01-31,
9,0,California,state,,2000-02-29,189006.93549813825
54,1,Texas,state,,2000-02-29,112680.01626807723
14,2,Florida,state,,2000-02-29,108095.63506495312
43,3,New York,state,,2000-02-29,154433.20700776862
47,4,Pennsylvania,state,,2000-02-29,99168.40394035717
21,5,Illinois,state,,2000-02-29,128179.750406323
44,6,Ohio,state,,2000-02-29,104828.81264606534
16,7,Georgia,state,,2000-02-29,126353.63777497596
36,8,North Carolina,state,,2000-02-29,129022.9778460874
30,9,Michigan,state,,2000-02-29,116020.97914266709
40,10,New Jersey,state,,2000-02-29,170820.54910006904
56,11,Virginia,state,,2000-02-29,124454.08863165184
59,12,Washington,state,,2000-02-29,175041.95432177116
8,13,Arizona,state,,2000-02-29,136000.0134536274
26,14,Massachusetts,state,,2000-02-29,197560.55673483043
53,15,Tennessee,state,,2000-02-29,112351.2484895692
22,16,Indiana,state,,2000-02-29,97428.60178554727
27,17,Maryland,state,,2000-02-29,151553.72851020785
32,18,Missouri,state,,2000-02-29,96829.13077923536
60,19,Wisconsin,state,,2000-02-29,120224.5606812648
10,20,Colorado,state,,2000-02-29,177228.57816642302
31,21,Minnesota,state,,2000-02-29,125030.00453400573
51,22,South Carolina,state,,2000-02-29,114766.657782391
4,23,Alabama,state,,2000-02-29,100200.05147815745
25,24,Louisiana,state,,2000-02-29,109508.06963737952
24,25,Kentucky,state,,2000-02-29,88562.48287026702
46,26,Oregon,state,,2000-02-29,151839.05469575047
45,27,Oklahoma,state,,2000-02-29,83330.73197929142
11,28,Connecticut,state,,2000-02-29,162810.97902397625
55,30,Utah,state,,2000-02-29,169356.10888837965
19,31,Iowa,state,,2000-02-29,90773.36060125036
42,32,Nevada,state,,2000-02-29,154884.21351349883
6,33,Arkansas,state,,2000-02-29,89218.42952353292
34,34,Mississippi,state,,2000-02-29,89039.13785377177
23,35,Kansas,state,,2000-02-29,88661.68447188482
41,36,New Mexico,state,,2000-02-29,
38,37,Nebraska,state,,2000-02-29,115493.39697563992
20,38,Idaho,state,,2000-02-29,123926.68444231935
61,39,West Virginia,state,,2000-02-29,72807.10343935798
18,40,Hawaii,state,,2000-02-29,194053.362419894
39,41,New Hampshire,state,,2000-02-29,133767.41366619384
28,42,Maine,state,,2000-02-29,106926.15361481902
50,43,Rhode Island,state,,2000-02-29,132231.45708717714
35,44,Montana,state,,2000-02-29,
13,45,Delaware,state,,2000-02-29,148437.76856700284
52,46,South Dakota,state,,2000-02-29,107603.9936206562
37,47,North Dakota,state,,2000-02-29,
3,48,Alaska,state,,2000-02-29,136064.16358647984
12,49,District of Columbia,state,,2000-02-29,162287.54023373587
58,50,Vermont,state,,2000-02-29,115767.78364864072
62,51,Wyoming,state,,2000-02-29,
9,0,California,state,,2000-03-31,189861.88410874724
54,1,Texas,state,,2000-03-31,112709.69921416136
14,2,Florida,state,,2000-03-31,108378.85225468292
43,3,New York,state,,2000-03-31,154960.72859439123
47,4,Pennsylvania,state,,2000-03-31,99367.30840468987
21,5,Illinois,state,,2000-03-31,128401.61544991816
44,6,Ohio,state,,2000-03-31,104925.9035698005
16,7,Georgia,state,,2000-03-31,126683.95382565875
36,8,North Carolina,state,,2000-03-31,129224.84732251705
30,9,Michigan,state,,2000-03-31,116254.79846515165
40,10,New Jersey,state,,2000-03-31,171258.73954983734
56,11,Virginia,state,,2000-03-31,124794.64687088446
59,12,Washington,state,,2000-03-31,175443.81116165954
8,13,Arizona,state,,2000-03-31,136316.47920593
26,14,Massachusetts,state,,2000-03-31,198342.75204817211
53,15,Tennessee,state,,2000-03-31,112446.75742101918
22,16,Indiana,state,,2000-03-31,97277.93370287924
27,17,Maryland,state,,2000-03-31,151661.12396855312
32,18,Missouri,state,,2000-03-31,96998.84661076976
60,19,Wisconsin,state,,2000-03-31,120359.09851130216
10,20,Colorado,state,,2000-03-31,177921.54738670183
31,21,Minnesota,state,,2000-03-31,125420.24849537796
51,22,South Carolina,state,,2000-03-31,114972.65180218448
4,23,Alabama,state,,2000-03-31,100316.75616521256
25,24,Louisiana,state,,2000-03-31,109671.89800332762
24,25,Kentucky,state,,2000-03-31,88645.63356919469
46,26,Oregon,state,,2000-03-31,152143.43572987776
45,27,Oklahoma,state,,2000-03-31,83490.89478366102
11,28,Connecticut,state,,2000-03-31,163456.18332809242
55,30,Utah,state,,2000-03-31,169501.7050811551
19,31,Iowa,state,,2000-03-31,90936.80520448058
42,32,Nevada,state,,2000-03-31,155123.9024090432
6,33,Arkansas,state,,2000-03-31,89353.53245065438
34,34,Mississippi,state,,2000-03-31,89037.01230771915
23,35,Kansas,state,,2000-03-31,88764.20158469277
41,36,New Mexico,state,,2000-03-31,
38,37,Nebraska,state,,2000-03-31,115664.2335693788
20,38,Idaho,state,,2000-03-31,123974.3124656676
61,39,West Virginia,state,,2000-03-31,72830.6379459074
18,40,Hawaii,state,,2000-03-31,194351.33304865527
39,41,New Hampshire,state,,2000-03-31,134308.0555639808
28,42,Maine,state,,2000-03-31,107242.73544237704
50,43,Rhode Island,state,,2000-03-31,132860.14302106225
35,44,Montana,state,,2000-03-31,
13,45,Delaware,state,,2000-03-31,148724.85691151998
52,46,South Dakota,state,,2000-03-31,107283.3715197342
37,47,North Dakota,state,,2000-03-31,
3,48,Alaska,state,,2000-03-31,136218.44767288366
12,49,District of Columbia,state,,2000-03-31,163038.24587543108
58,50,Vermont,state,,2000-03-31,116071.70966017472
62,51,Wyoming,state,,2000-03-31,
9,0,California,state,,2000-04-30,191717.72262183865
54,1,Texas,state,,2000-04-30,112857.01830774963
14,2,Florida,state,,2000-04-30,108954.559956487
43,3,New York,state,,2000-04-30,156095.2841218174
47,4,Pennsylvania,state,,2000-04-30,99772.6454791658
21,5,Illinois,state,,2000-04-30,128923.55003776064
44,6,Ohio,state,,2000-04-30,105211.404116022
16,7,Georgia,state,,2000-04-30,127379.41410275028
36,8,North Carolina,state,,2000-04-30,129662.73787298235
30,9,Michigan,state,,2000-04-30,116720.56563598034
40,10,New Jersey,state,,2000-04-30,172229.5644832965
56,11,Virginia,state,,2000-04-30,125438.18867945048
59,12,Washington,state,,2000-04-30,176254.8609994233
8,13,Arizona,state,,2000-04-30,136962.68403317407
26,14,Massachusetts,state,,2000-04-30,199883.3469873214
53,15,Tennessee,state,,2000-04-30,112676.5443643614
22,16,Indiana,state,,2000-04-30,96819.91901697818
27,17,Maryland,state,,2000-04-30,151920.2723870102
32,18,Missouri,state,,2000-04-30,97386.7789090262
60,19,Wisconsin,state,,2000-04-30,120552.30769649964
10,20,Colorado,state,,2000-04-30,179471.00165084182
31,21,Minnesota,state,,2000-04-30,126336.2983037834
51,22,South Carolina,state,,2000-04-30,115444.86286034882
4,23,Alabama,state,,2000-04-30,100578.20960791882
25,24,Louisiana,state,,2000-04-30,110041.23984783787
24,25,Kentucky,state,,2000-04-30,88852.27066269076
46,26,Oregon,state,,2000-04-30,152782.15918152858
45,27,Oklahoma,state,,2000-04-30,83782.5428536588
11,28,Connecticut,state,,2000-04-30,164549.2864818847
55,30,Utah,state,,2000-04-30,169867.0084493833
19,31,Iowa,state,,2000-04-30,91289.84107554363
42,32,Nevada,state,,2000-04-30,155673.19198644755
6,33,Arkansas,state,,2000-04-30,89641.99903229899
34,34,Mississippi,state,,2000-04-30,89101.24004308542
23,35,Kansas,state,,2000-04-30,88917.4575332782
41,36,New Mexico,state,,2000-04-30,
38,37,Nebraska,state,,2000-04-30,115929.42380125994
20,38,Idaho,state,,2000-04-30,124073.1989132316
61,39,West Virginia,state,,2000-04-30,72890.20517738473
18,40,Hawaii,state,,2000-04-30,194868.2140136432
39,41,New Hampshire,state,,2000-04-30,135119.63399571172
28,42,Maine,state,,2000-04-30,107940.1834365416
50,43,Rhode Island,state,,2000-04-30,134102.3238377501
35,44,Montana,state,,2000-04-30,
13,45,Delaware,state,,2000-04-30,149381.4214513834
52,46,South Dakota,state,,2000-04-30,106851.20731484132
37,47,North Dakota,state,,2000-04-30,
3,48,Alaska,state,,2000-04-30,136399.38684540408
12,49,District of Columbia,state,,2000-04-30,164647.91324467518
58,50,Vermont,state,,2000-04-30,116668.90634913163
62,51,Wyoming,state,,2000-04-30,
9,0,California,state,,2000-05-31,193874.8553277671
54,1,Texas,state,,2000-05-31,112952.42446303504
14,2,Florida,state,,2000-05-31,109575.39867380122
43,3,New York,state,,2000-05-31,157269.14352500404
47,4,Pennsylvania,state,,2000-05-31,100189.0281462192
21,5,Illinois,state,,2000-05-31,129542.84174145706
44,6,Ohio,state,,2000-05-31,105646.72145299528
16,7,Georgia,state,,2000-05-31,128146.47908767356
36,8,North Carolina,state,,2000-05-31,130150.572278835
30,9,Michigan,state,,2000-05-31,117407.43627811102
40,10,New Jersey,state,,2000-05-31,173219.24417098667
56,11,Virginia,state,,2000-05-31,126059.45780470112
59,12,Washington,state,,2000-05-31,177140.07090175056
8,13,Arizona,state,,2000-05-31,137695.16634439208
26,14,Massachusetts,state,,2000-05-31,201550.96513817727
53,15,Tennessee,state,,2000-05-31,112941.6113140431
22,16,Indiana,state,,2000-05-31,96598.6162482408
27,17,Maryland,state,,2000-05-31,152462.57569840958
32,18,Missouri,state,,2000-05-31,97887.87500511634
60,19,Wisconsin,state,,2000-05-31,120937.7752900828
10,20,Colorado,state,,2000-05-31,181200.46124118776
31,21,Minnesota,state,,2000-05-31,127341.2237486898
51,22,South Carolina,state,,2000-05-31,115885.74548940473
4,23,Alabama,state,,2000-05-31,100869.81844031304
25,24,Louisiana,state,,2000-05-31,110432.55377889192
24,25,Kentucky,state,,2000-05-31,89126.89709392452
46,26,Oregon,state,,2000-05-31,153351.76461815942
45,27,Oklahoma,state,,2000-05-31,84174.27156673347
11,28,Connecticut,state,,2000-05-31,165447.52748347996
55,30,Utah,state,,2000-05-31,171190.885767934
19,31,Iowa,state,,2000-05-31,91679.89120043124
42,32,Nevada,state,,2000-05-31,156373.13373613183
6,33,Arkansas,state,,2000-05-31,89926.51660285627
34,34,Mississippi,state,,2000-05-31,89413.78393448117
23,35,Kansas,state,,2000-05-31,89148.47715440668
41,36,New Mexico,state,,2000-05-31,
38,37,Nebraska,state,,2000-05-31,116063.90428297654
20,38,Idaho,state,,2000-05-31,124395.64979832016
61,39,West Virginia,state,,2000-05-31,73006.41784957373
18,40,Hawaii,state,,2000-05-31,195880.7400811768
39,41,New Hampshire,state,,2000-05-31,136007.95311754156
28,42,Maine,state,,2000-05-31,108597.18306425551
50,43,Rhode Island,state,,2000-05-31,135340.10108154482
35,44,Montana,state,,2000-05-31,
13,45,Delaware,state,,2000-05-31,150130.26253185415
52,46,South Dakota,state,,2000-05-31,106671.41437720838
37,47,North Dakota,state,,2000-05-31,
3,48,Alaska,state,,2000-05-31,136671.77659276928
12,49,District of Columbia,state,,2000-05-31,166434.34614688004
58,50,Vermont,state,,2000-05-31,117356.63768610828
62,51,Wyoming,state,,2000-05-31,
9,0,California,state,,2000-06-30,196202.39525113665
54,1,Texas,state,,2000-06-30,113059.39798879644
14,2,Florida,state,,2000-06-30,110208.85419200704
43,3,New York,state,,2000-06-30,158538.41016798242
47,4,Pennsylvania,state,,2000-06-30,100616.95688208098
21,5,Illinois,state,,2000-06-30,130238.84660938696
44,6,Ohio,state,,2000-06-30,106186.8596272032
16,7,Georgia,state,,2000-06-30,128959.30978659396
36,8,North Carolina,state,,2000-06-30,130669.5084944028
30,9,Michigan,state,,2000-06-30,118161.82673004824
40,10,New Jersey,state,,2000-06-30,174400.4168614678
56,11,Virginia,state,,2000-06-30,126659.40302986852
59,12,Washington,state,,2000-06-30,177985.12026754962
8,13,Arizona,state,,2000-06-30,138352.4962951554
26,14,Massachusetts,state,,2000-06-30,203357.79853474777
53,15,Tennessee,state,,2000-06-30,113204.6784853728
22,16,Indiana,state,,2000-06-30,96663.98441298038
27,17,Maryland,state,,2000-06-30,153118.25181913955
32,18,Missouri,state,,2000-06-30,98441.61788817502
60,19,Wisconsin,state,,2000-06-30,121390.18935977116
10,20,Colorado,state,,2000-06-30,183068.00209983243
31,21,Minnesota,state,,2000-06-30,128503.10795014056
51,22,South Carolina,state,,2000-06-30,116371.38552770096
4,23,Alabama,state,,2000-06-30,101222.385202914
25,24,Louisiana,state,,2000-06-30,110858.82102673085
24,25,Kentucky,state,,2000-06-30,89428.79257578864
46,26,Oregon,state,,2000-06-30,153880.4742485017
45,27,Oklahoma,state,,2000-06-30,84545.6387842314
11,28,Connecticut,state,,2000-06-30,166337.21392007964
55,30,Utah,state,,2000-06-30,172650.38269356833
19,31,Iowa,state,,2000-06-30,92073.5872330458
42,32,Nevada,state,,2000-06-30,157001.5086711901
6,33,Arkansas,state,,2000-06-30,90199.67616652302
34,34,Mississippi,state,,2000-06-30,89860.94754386181
23,35,Kansas,state,,2000-06-30,89409.06163891563
41,36,New Mexico,state,,2000-06-30,
38,37,Nebraska,state,,2000-06-30,116143.48613007693
20,38,Idaho,state,,2000-06-30,124789.73923599166
61,39,West Virginia,state,,2000-06-30,73199.47361046661
